id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13639121,En el corazón de Barcelona Rbla Raval.,54522075,Valeria,Ciutat Vella,el Raval,41.37740349687914,2.170868435131589,Private room,45,2,16,2016-11-21,2.87,1,364
3658011,"Center of Barcelona, 100m2 terrace & very quiet",2273819,Andy,Ciutat Vella,el Raval,41.3822729715064,2.1673160570600882,Private room,42,1,87,2016-12-05,3.12,2,86
9792844,"VERY CENTRIC, PERFECT FOR TOURISTS",50282691,Susana,Ciutat Vella,el Raval,41.376784815907754,2.1746948265378196,Private room,30,3,13,2016-10-06,1.14,5,88
10544538,double room in the center,27596392,Lila & Fab,Ciutat Vella,el Raval,41.37759295166513,2.1698081254668917,Private room,50,3,12,2016-11-03,1.42,1,158
440840,sociable apartment in Raval 2,1457147,Piero,Ciutat Vella,el Raval,41.380116971292956,2.1710566321896865,Private room,30,2,56,2016-10-03,1.05,3,329
14551597,New flat in the downtown,19552959,Adrian,Ciutat Vella,el Raval,41.385707992576705,2.164834666417637,Private room,49,1,11,2016-10-31,3.24,2,235
9360793,NICE ROOM=BARCELONA CITY CENTER +FREE WIFI,48575675,Eugenio,Ciutat Vella,el Raval,41.379222520847,2.164494236842498,Private room,45,2,36,2016-10-30,2.89,2,362
11997102,"Double Room - El Raval, Barcelona",50825390,Juan Pablo,Ciutat Vella,el Raval,41.380895813269184,2.1652814370913234,Private room,30,1,1,2016-03-28,0.12,1,0
10558480,"Hab. triple, espaciosa, céntrica",20390075,Marisa,Ciutat Vella,el Raval,41.37855812465445,2.175343630764831,Private room,52,1,44,2016-11-01,4.54,6,354
1136160,RAMBLAS! Fantastic double room B&B,783613,Maria,Ciutat Vella,el Raval,41.3798432326583,2.1738201134688233,Private room,40,2,64,2016-11-27,1.47,4,1
3003812,TRIPLE PRIVATE ROOM/BALCONY,6741457,George&Mercy,Ciutat Vella,el Raval,41.38237878098189,2.165409170421209,Private room,30,1,134,2016-11-16,4.34,3,279
611252,Small Room 4 rent in BCN Downtown,559889,Zesare,Ciutat Vella,el Raval,41.379579775155634,2.166542700060667,Private room,18,2,33,2016-11-30,0.62,3,352
3546336,Beautiful flat in Bcn city center,1703231,Andrea,Ciutat Vella,el Raval,41.380247405613986,2.1645115098898247,Private room,100,3,8,2016-02-28,0.28,1,0
975337,Triple room,5314041,Claudia,Ciutat Vella,el Raval,41.3851025029453,2.1645676419269595,Private room,90,3,8,2016-11-01,0.97,12,350
16082577,central double room near the ramblas,92915364,Simona,Ciutat Vella,el Raval,41.37960812687827,2.1640306485211926,Private room,24,1,0,,,2,360
12238900,"Bright, Beautiful Double in El Gotic with Balcony",8340309,Sophie,Ciutat Vella,el Raval,41.37784140208436,2.1746370641530097,Private room,15,1,13,2016-12-08,1.67,1,42
13965679,Central double room with balcony and private WC,83238550,Edu,Ciutat Vella,el Raval,41.37883720414627,2.168141605188137,Private room,39,2,11,2016-11-27,2.44,1,354
9227686,Room in center of BCN. El Raval,34087272,Rama,Ciutat Vella,el Raval,41.37988717757053,2.163634978015549,Private room,20,1,28,2016-11-08,2.34,5,336
6661146,"Lightly centric room, great view!",30939263,Luca,Ciutat Vella,el Raval,41.37586006694277,2.1708293314301974,Private room,35,1,31,2016-09-29,1.79,3,221
4539216,Single room with bed for two people,3804525,Nahor Alexander,Ciutat Vella,el Raval,41.376634001842895,2.166703779781277,Private room,23,2,82,2016-10-28,3.46,3,343
4094609,Cozy Room > 2 Persons > city center,9874912,Fati,Ciutat Vella,el Raval,41.380166314830056,2.1722894968981477,Private room,37,1,54,2016-11-07,2.00,2,0
2416207,Habitación doble con baño privado,12349394,Albert,Ciutat Vella,el Raval,41.3795261038172,2.1714709864202786,Private room,46,3,14,2016-11-28,0.76,1,365
256628,"Cozy bedroom in a loft, el Raval.",742068,R&M,Ciutat Vella,el Raval,41.376540486553225,2.1738452302632076,Private room,35,3,140,2016-11-28,2.33,2,295
4805923,Dble bedroom with 100m2 of terraces,15253171,Bernard,Ciutat Vella,el Raval,41.379959334057496,2.1661615915559533,Private room,45,2,92,2016-12-02,3.91,2,36
1327065,"Great Location, WALK EVERYWHERE!!!",7202104,Richard & Jeff,Ciutat Vella,el Raval,41.37573497576255,2.1692033049603343,Private room,95,3,149,2016-11-21,3.62,3,349
7072131,Sunny room with balcony,24758058,Jo-Lynn,Ciutat Vella,el Raval,41.378098617095596,2.1720461038377112,Private room,25,1,63,2016-11-19,3.65,1,199
6573592,Comfortable room in center of BCN!,7697867,"Yucef ,Gaida, Ely",Ciutat Vella,el Raval,41.375189409556306,2.170704430755209,Private room,25,1,31,2016-11-22,2.17,3,323
15576696,"3Room with private balcony,near the Rambla and sea",100164950,Ana,Ciutat Vella,el Raval,41.37688530759964,2.1759740029910217,Private room,45,2,0,,,4,87
3189453,Cozy flat @Raval 1 WEEK BOOKING MIN SPECIAL PRZEI!,12122023,Laura,Ciutat Vella,el Raval,41.378006095821725,2.1653845259207487,Private room,40,1,25,2016-08-28,0.94,1,340
14099561,"Friendly, central room, with private bathroom",82269614,Simon,Ciutat Vella,el Raval,41.375644328870465,2.172002805271806,Private room,35,1,26,2016-11-28,5.86,1,35
7267087,Spacious room in the heart of BCN,10701150,Elke,Ciutat Vella,el Raval,41.378692392080765,2.1704135215695306,Private room,39,3,37,2016-12-04,2.25,1,351
14290599,Perfect stay in Barcelona.,86877509,Jamal,Ciutat Vella,el Raval,41.38053662325164,2.164570127770514,Private room,29,1,11,2016-11-01,2.97,1,358
7567523,SUNNY BEDROOM IN LOVELY FLAT!!,39222012,Claudio,Ciutat Vella,el Raval,41.380715953326046,2.1644754616974846,Private room,45,3,16,2016-11-01,1.00,4,365
11584059,Super cosy flat in the centre BCN,39257055,Berta,Ciutat Vella,el Raval,41.38237304438805,2.1699537306166667,Private room,35,1,0,,,1,0
14214380,Cool Flat + Private Terrace in center,16518039,Javier,Ciutat Vella,el Raval,41.38071278119003,2.1666091272094143,Private room,54,1,5,2016-10-26,1.27,1,85
10559356,Espacious room with bathroom,20390075,Marisa,Ciutat Vella,el Raval,41.37865654983096,2.173271640426271,Private room,52,1,11,2016-10-23,1.30,6,364
16286279,Habitacion doble,25907408,Bande,Ciutat Vella,el Raval,41.38030219714412,2.163688405805625,Private room,37,1,0,,,1,365
12038088,Double room w/b in the heart of BCN near ramblas!,64419291,Alex,Ciutat Vella,el Raval,41.379645450328404,2.1702454746034947,Private room,35,2,35,2016-12-06,4.15,3,82
13359409,Virreina from Raval,2481770,Beatriz,Ciutat Vella,el Raval,41.3822198768391,2.1716500980220794,Private room,53,2,17,2016-11-27,3.23,1,69
