neighbourhood_group,neighbourhood
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
Ciutat Vella,el Barri Gòtic
Ciutat Vella,el Raval
Ciutat Vella,la Barceloneta
Eixample,Sant Antoni
Eixample,el Fort Pienc
Eixample,l'Antiga Esquerra de l'Eixample
Eixample,la Dreta de l'Eixample
Eixample,la Nova Esquerra de l'Eixample
Eixample,la Sagrada Família
Gràcia,Vallcarca i els Penitents
Gràcia,el Camp d'en Grassot i Gràcia Nova
Gràcia,el Coll
Gràcia,la Salut
Gràcia,la Vila de Gràcia
Horta-Guinardó,Can Baró
Horta-Guinardó,Horta
Horta-Guinardó,Montbau
Horta-Guinardó,Sant Genís dels Agudells
Horta-Guinardó,el Baix Guinardó
Horta-Guinardó,el Carmel
Horta-Guinardó,el Guinardó
Horta-Guinardó,la Clota
Horta-Guinardó,la Font d'en Fargues
Horta-Guinardó,la Teixonera
Horta-Guinardó,la Vall d'Hebron
Les Corts,Pedralbes
Les Corts,la Maternitat i Sant Ramon
Les Corts,les Corts
Nou Barris,Can Peguera
Nou Barris,Canyelles
Nou Barris,Ciutat Meridiana
Nou Barris,Porta
Nou Barris,Torre Baró
Nou Barris,Vallbona
Nou Barris,Verdun
Nou Barris,Vilapicina i la Torre Llobeta
Nou Barris,el Turó de la Peira
Nou Barris,la Guineueta
Nou Barris,la Prosperitat
Nou Barris,la Trinitat Nova
Nou Barris,les Roquetes
Sant Andreu,Baró de Viver
Sant Andreu,Navas
Sant Andreu,Sant Andreu
Sant Andreu,el Bon Pastor
Sant Andreu,el Congrés i els Indians
Sant Andreu,la Sagrera
Sant Andreu,la Trinitat Vella
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
Sant Martí,Provençals del Poblenou
Sant Martí,Sant Martí de Provençals
Sant Martí,el Besòs i el Maresme
Sant Martí,el Camp de l'Arpa del Clot
Sant Martí,el Clot
Sant Martí,el Parc i la Llacuna del Poblenou
Sant Martí,el Poblenou
Sant Martí,la Verneda i la Pau
Sant Martí,la Vila Olímpica del Poblenou
Sants-Montjuïc,Hostafrancs
Sants-Montjuïc,Sants
Sants-Montjuïc,Sants - Badal
Sants-Montjuïc,el Poble Sec
Sants-Montjuïc,la Bordeta
Sants-Montjuïc,la Font de la Guatlla
Sants-Montjuïc,la Marina de Port
Sants-Montjuïc,la Marina del Prat Vermell
Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
Sarrià-Sant Gervasi,Sarrià
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
Sarrià-Sant Gervasi,el Putxet i el Farró
Sarrià-Sant Gervasi,les Tres Torres
