host_id,# listings per id
2626,2
2883,2
3631,1
4175,1
6792,24
7749,1
7903,1
9011,2
9845,1
12764,1
13095,1
14922,1
15667,1
17718,1
18876,1
19105,2
20633,2
20826,1
23964,1
24212,2
24678,1
26239,1
29666,1
29838,1
30055,1
30484,1
30857,1
31300,1
33534,1
33995,4
34966,1
35203,2
36306,1
37107,1
38170,1
38514,1
38818,3
38940,1
38991,1
39214,1
39402,1
39761,1
40687,1
40963,1
41322,1
41330,1
41718,1
43959,1
44444,1
44626,1
45339,1
47196,2
47373,1
48438,1
49603,1
49798,2
50297,1
50397,2
51743,1
55023,2
55772,1
57711,4
57775,2
57954,2
58150,24
58574,7
58619,2
58645,1
58653,4
58819,1
59487,1
59779,1
59987,4
60013,2
60248,1
60787,1
62101,1
62642,1
63935,1
64043,1
64054,1
64055,1
64057,1
64066,1
64075,1
64198,1
64400,1
64627,1
66151,2
66222,1
67010,2
67118,2
67353,1
67894,1
68136,2
69294,1
69389,1
69675,1
70459,1
71496,1
72713,1
73423,3
73530,4
74519,1
74868,1
74956,1
76355,23
76961,1
77087,1
78066,1
79740,1
79843,11
79889,1
80630,1
80976,1
81070,1
81178,1
81740,5
81840,1
81848,3
82565,1
84134,1
84377,1
84413,3
84439,1
85818,1
85955,1
85970,1
86702,1
88337,1
88559,1
88562,1
88729,1
89023,1
89808,1
91223,1
91706,2
92069,1
92146,2
93371,2
93492,8
94541,1
97643,1
97702,1
100513,1
100943,1
101463,2
101494,3
101628,1
101693,1
105280,1
105907,1
106954,1
107514,1
107797,1
107855,1
108444,1
109451,1
110076,1
110077,1
111134,1
111157,1
111625,1
111853,1
111938,1
112192,1
112799,1
113770,2
113955,1
113980,2
114407,1
115374,1
115574,1
116850,1
118078,1
118380,1
119557,2
121062,14
121090,1
121468,1
121953,1
122606,1
123106,1
123115,1
123481,1
124063,1
124111,1
124381,1
124733,1
124912,2
125205,1
125811,1
125945,2
126762,1
126860,2
127098,1
128036,2
128814,1
129230,2
131154,1
131853,1
132867,1
132905,1
132916,1
133165,1
133175,1
133331,1
133602,1
134473,1
134793,1
135024,2
135103,3
135247,1
136146,1
137006,1
137616,1
138253,1
138401,2
138864,1
140462,1
140473,1
140535,2
141201,1
142001,1
142032,5
142078,1
142179,1
142478,2
142505,1
143558,1
143662,1
143992,1
144300,1
144457,1
144665,5
144923,4
144931,14
144937,1
145036,1
145119,1
146046,1
146059,1
146066,1
146581,3
146671,1
146683,1
146926,1
147746,1
147830,1
148147,1
148624,1
148773,1
148820,1
149014,1
150448,1
150449,1
150876,1
152242,54
152851,1
152957,1
153430,1
153645,1
154051,1
154999,1
155905,1
156303,5
156407,1
156539,2
156770,1
156928,1
156936,1
157430,1
157567,1
157992,1
158267,1
159102,1
160020,1
160116,1
160171,1
160471,1
162708,1
164412,1
165215,2
165470,1
166552,1
166743,2
167155,1
167205,1
168064,2
169335,1
169354,1
170325,1
170397,1
170600,1
170856,1
171483,1
172410,1
172460,1
172587,1
172724,1
172846,2
173081,1
174186,1
174341,1
174484,1
174488,1
175116,1
175671,1
177053,1
177130,1
178239,1
178483,1
179085,2
179176,1
179213,1
180048,1
180216,1
181946,1
182070,1
182588,2
182846,1
183178,1
183348,3
183601,1
184649,1
184942,1
186043,1
186519,1
186707,1
186858,1
187113,2
187455,1
187799,1
188037,2
188458,1
189363,1
189397,2
189962,1
190035,1
190834,1
193007,1
193142,1
193617,1
193906,1
194389,1
195411,1
196507,1
196791,1
197050,1
197430,1
199617,1
201939,1
202804,2
202918,2
203210,1
204455,1
204631,1
204922,1
205988,5
206189,1
206536,1
206971,1
207166,1
209127,1
209667,2
209754,1
210089,1
210114,2
212209,1
212248,1
212393,1
212481,3
213820,1
216114,1
217864,1
221029,1
222227,1
223247,1
223256,1
223650,1
224432,1
225541,1
227911,1
228229,1
228508,1
229419,1
230406,1
232021,1
232987,1
234106,1
235208,1
236589,1
237404,1
237598,1
237837,2
240576,1
245009,1
245018,1
245572,2
245813,1
246537,1
247511,1
247562,1
248298,1
248319,1
248423,1
248844,1
250135,1
251498,1
252297,1
257223,1
258734,2
258748,1
259486,1
259503,2
259658,1
259898,1
259930,1
259994,2
260500,1
260696,1
261355,9
261483,5
263824,1
264014,1
264256,1
264687,13
265983,1
266146,1
266310,1
266505,2
266563,1
266599,1
267413,4
268825,1
269841,1
270434,3
270801,1
271730,1
272464,1
272800,1
273729,1
273934,1
274129,1
274602,1
275209,1
275667,2
275885,1
275893,5
276063,4
277003,1
277313,1
277494,2
278338,2
280433,1
281006,2
281316,1
281528,22
281986,1
282155,1
283063,5
283101,1
283396,1
284519,1
287866,2
288465,1
288512,1
288550,1
288574,23
288594,3
288915,1
288981,1
289696,1
290662,1
291740,1
291971,9
293024,1
293958,1
294093,1
294255,1
295001,1
295521,1
296278,1
296407,1
296615,1
297577,1
297618,1
297768,1
298678,1
299588,1
299620,1
302914,1
303524,1
303616,1
304318,1
304888,1
305021,1
307640,1
309284,1
309313,1
309970,1
310191,1
312145,1
313262,1
313308,1
315000,1
315121,1
315169,1
315171,1
315918,1
316412,1
317371,1
318620,1
319716,1
320194,1
321866,1
322299,1
322380,1
324015,1
324032,2
324546,1
325308,2
325959,1
326221,1
326830,1
327494,1
327933,1
328321,2
328772,1
330195,1
330274,3
331465,1
332161,1
332889,1
333119,1
