"room_type","neighbourhood","count"
"Entire home/apt                                                                                                                                       ","Buttes-Montmartre                                                                                                                                     ","4298"
"Shared room                                                                                                                                           ","Bourse                                                                                                                                                ","16"
"Shared room                                                                                                                                           ","Vaugirard                                                                                                                                             ","37"
"Shared room                                                                                                                                           ","Élysée                                                                                                                                                ","9"
"Private room                                                                                                                                          ","Louvre                                                                                                                                                ","68"
"Private room                                                                                                                                          ","Hôtel-de-Ville                                                                                                                                        ","114"
"Shared room                                                                                                                                           ","Buttes-Chaumont                                                                                                                                       ","40"
"Shared room                                                                                                                                           ","Reuilly                                                                                                                                               ","20"
"Shared room                                                                                                                                           ","Batignolles-Monceau                                                                                                                                   ","27"
"Shared room                                                                                                                                           ","Popincourt                                                                                                                                            ","65"
"Shared room                                                                                                                                           ","Luxembourg                                                                                                                                            ","3"
"Entire home/apt                                                                                                                                       ","Temple                                                                                                                                                ","1736"
"Private room                                                                                                                                          ","Passy                                                                                                                                                 ","288"
"Entire home/apt                                                                                                                                       ","Panthéon                                                                                                                                              ","1566"
"Private room                                                                                                                                          ","Palais-Bourbon                                                                                                                                        ","124"
"Entire home/apt                                                                                                                                       ","Buttes-Chaumont                                                                                                                                       ","1697"
"Entire home/apt                                                                                                                                       ","Reuilly                                                                                                                                               ","1509"
"Private room                                                                                                                                          ","Entrepôt                                                                                                                                              ","444"
"Entire home/apt                                                                                                                                       ","Élysée                                                                                                                                                ","1191"
"Entire home/apt                                                                                                                                       ","Bourse                                                                                                                                                ","1280"
"Entire home/apt                                                                                                                                       ","Vaugirard                                                                                                                                             ","2645"
"Private room                                                                                                                                          ","Observatoire                                                                                                                                          ","260"
"Shared room                                                                                                                                           ","Buttes-Montmartre                                                                                                                                     ","43"
"Private room                                                                                                                                          ","Ménilmontant                                                                                                                                          ","440"
"Shared room                                                                                                                                           ","Panthéon                                                                                                                                              ","24"
"Private room                                                                                                                                          ","Gobelins                                                                                                                                              ","347"
"Entire home/apt                                                                                                                                       ","Luxembourg                                                                                                                                            ","1548"
"Shared room                                                                                                                                           ","Temple                                                                                                                                                ","6"
"Private room                                                                                                                                          ","Opéra                                                                                                                                                 ","243"
"Entire home/apt                                                                                                                                       ","Popincourt                                                                                                                                            ","3430"
"Entire home/apt                                                                                                                                       ","Batignolles-Monceau                                                                                                                                   ","2547"
"Shared room                                                                                                                                           ","Opéra                                                                                                                                                 ","9"
"Shared room                                                                                                                                           ","Gobelins                                                                                                                                              ","27"
"Private room                                                                                                                                          ","Temple                                                                                                                                                ","146"
"Entire home/apt                                                                                                                                       ","Passy                                                                                                                                                 ","2340"
"Private room                                                                                                                                          ","Panthéon                                                                                                                                              ","122"
"Shared room                                                                                                                                           ","Observatoire                                                                                                                                          ","21"
"Private room                                                                                                                                          ","Buttes-Montmartre                                                                                                                                     ","635"
"Shared room                                                                                                                                           ","Ménilmontant                                                                                                                                          ","29"
"Shared room                                                                                                                                           ","Entrepôt                                                                                                                                              ","41"
"Entire home/apt                                                                                                                                       ","Louvre                                                                                                                                                ","940"
"Entire home/apt                                                                                                                                       ","Hôtel-de-Ville                                                                                                                                        ","1543"
"Shared room                                                                                                                                           ","Palais-Bourbon                                                                                                                                        ","15"
"Entire home/apt                                                                                                                                       ","Gobelins                                                                                                                                              ","1154"
"Private room                                                                                                                                          ","Luxembourg                                                                                                                                            ","94"
"Shared room                                                                                                                                           ","Passy                                                                                                                                                 ","24"
"Entire home/apt                                                                                                                                       ","Opéra                                                                                                                                                 ","1712"
"Private room                                                                                                                                          ","Popincourt                                                                                                                                            ","499"
"Private room                                                                                                                                          ","Batignolles-Monceau                                                                                                                                   ","377"
"Shared room                                                                                                                                           ","Louvre                                                                                                                                                ","5"
"Shared room                                                                                                                                           ","Hôtel-de-Ville                                                                                                                                        ","6"
"Entire home/apt                                                                                                                                       ","Palais-Bourbon                                                                                                                                        ","1276"
"Private room                                                                                                                                          ","Buttes-Chaumont                                                                                                                                       ","449"
"Private room                                                                                                                                          ","Reuilly                                                                                                                                               ","291"
"Entire home/apt                                                                                                                                       ","Entrepôt                                                                                                                                              ","2387"
"Private room                                                                                                                                          ","Élysée                                                                                                                                                ","102"
"Private room                                                                                                                                          ","Bourse                                                                                                                                                ","115"
"Private room                                                                                                                                          ","Vaugirard                                                                                                                                             ","433"
"Entire home/apt                                                                                                                                       ","Observatoire                                                                                                                                          ","1449"
"Entire home/apt                                                                                                                                       ","Ménilmontant                                                                                                                                          ","1804"
