,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,3880,4970,Entire home/apt,,Miseric�rdia,96,4.5,3,1.0,1.0,67.0,1.0,38.710479,-9.15042,2016-06-02 14:23:07.865018
1,16013,60741,Entire home/apt,,Miseric�rdia,176,4.5,3,1.0,1.0,52.0,3.0,38.71236,-9.152341,2016-06-02 13:33:27.424204
2,17031,66015,Entire home/apt,,Alvalade,0,,2,1.0,1.0,45.0,2.0,38.747643,-9.14085,2016-06-02 13:36:24.399338
3,25659,107347,Entire home/apt,,Santa Maria Maior,35,4.5,4,1.0,1.0,58.0,3.0,38.711671,-9.126964,2016-06-02 14:49:07.676896
4,26993,111686,Entire home/apt,,Avenidas Novas,4,4.0,2,1.0,1.0,87.0,3.0,38.730747,-9.14824,2016-06-02 16:53:59.644206
5,26995,111686,Private room,,Areeiro,0,,2,1.0,2.0,287.0,1.0,38.738077,-9.140966,2016-06-02 11:52:39.533822
6,29138,125304,Private room,,Areeiro,0,,1,1.0,,81.0,1.0,38.736341,-9.137916,2016-06-02 13:23:17.428882
7,29248,125768,Entire home/apt,,Santa Maria Maior,168,4.5,4,1.0,1.0,57.0,3.0,38.712717,-9.12628,2016-06-02 13:59:29.617423
8,29396,126415,Entire home/apt,,Santa Maria Maior,74,5.0,4,1.0,1.0,67.0,1.0,38.712392,-9.12887,2016-06-02 16:36:50.170768
9,29720,128075,Entire home/apt,,Estrela,8,5.0,16,9.0,8.0,1148.0,2.0,38.711955,-9.158766,2016-06-02 10:32:33.931011
10,29872,128698,Entire home/apt,,Alc�ntara,25,5.0,2,1.0,1.0,127.0,4.0,38.70199,-9.190947,2016-06-02 14:11:20.814971
11,29915,128890,Entire home/apt,,Avenidas Novas,23,4.5,3,1.0,1.0,58.0,3.0,38.747121,-9.152863,2016-06-02 17:08:28.277354
12,31676,136230,Entire home/apt,,Miseric�rdia,177,4.5,2,1.0,1.0,63.0,1.0,38.710887,-9.150394,2016-06-02 15:12:48.748221
13,33312,144398,Entire home/apt,,Miseric�rdia,8,4.5,4,1.0,1.0,65.0,2.0,38.7118,-9.143634,2016-06-02 15:56:07.478941
14,33845,146204,Private room,,Campo de Ourique,0,,1,1.0,,68.0,1.0,38.721431,-9.163592,2016-06-02 15:08:27.796700
15,34779,149980,Private room,,Estrela,0,,1,1.0,,72.0,1.0,38.712157,-9.162721,2016-06-02 17:41:38.364906
16,34783,149980,Private room,,Estrela,0,,1,1.0,,53.0,1.0,38.711302,-9.159902,2016-06-02 17:01:39.644857
17,34953,146695,Entire home/apt,,S�o Vicente,28,4.5,2,0.0,1.0,42.0,3.0,38.715061,-9.129613,2016-06-02 14:37:08.433889
18,34977,146695,Entire home/apt,,Santa Maria Maior,24,4.5,6,2.0,1.0,71.0,3.0,38.714761,-9.132885,2016-06-02 16:53:27.283902
19,34994,146695,Entire home/apt,,S�o Vicente,24,4.5,4,1.0,1.0,42.0,3.0,38.714053,-9.129963,2016-06-02 14:50:48.448708
20,40817,176410,Entire home/apt,,Miseric�rdia,184,4.5,2,1.0,1.0,58.0,2.0,38.709532,-9.142547,2016-06-02 13:07:29.492721
21,42172,184400,Entire home/apt,,Santa Maria Maior,39,4.5,6,2.0,1.0,138.0,4.0,38.712366,-9.141526,2016-06-02 14:44:03.340302
22,42519,136230,Entire home/apt,,Miseric�rdia,60,4.5,3,1.0,1.0,69.0,1.0,38.71082,-9.1509,2016-06-02 13:37:08.441743
23,44043,192830,Entire home/apt,,Santa Maria Maior,257,5.0,7,3.0,2.0,80.0,2.0,38.71176,-9.136205,2016-06-02 15:51:49.015215
24,47382,146695,Entire home/apt,,S�o Vicente,21,4.5,2,0.0,1.0,42.0,3.0,38.715374,-9.129357,2016-06-02 16:14:42.202932
25,47717,217058,Entire home/apt,,Santa Maria Maior,57,4.5,3,1.0,1.0,57.0,3.0,38.713355,-9.135391,2016-06-02 14:41:11.862483
26,49888,228114,Private room,,Santa Maria Maior,115,4.5,2,1.0,1.0,52.0,3.0,38.709925,-9.131784,2016-06-02 15:42:53.588350
27,50108,229376,Entire home/apt,,Estrela,19,4.5,4,1.0,2.0,69.0,2.0,38.703883,-9.165199,2016-06-02 11:06:23.096123
28,52291,224487,Entire home/apt,,Olivais,4,5.0,2,1.0,1.0,74.0,3.0,38.762135,-9.106225,2016-06-02 16:29:32.760324
29,52298,241711,Entire home/apt,,Miseric�rdia,0,,2,2.0,,356.0,1.0,38.712135,-9.149205,2016-06-02 17:42:54.247789
30,53743,228114,Private room,,Santa Maria Maior,73,4.5,2,1.0,1.0,52.0,3.0,38.709919,-9.13024,2016-06-02 14:04:43.966001
31,53747,228114,Private room,,Santa Maria Maior,78,4.5,2,1.0,1.0,52.0,3.0,38.708936,-9.130311,2016-06-02 11:46:32.515914
32,55116,259744,Private room,,Avenidas Novas,0,,2,1.0,1.0,68.0,1.0,38.726005,-9.155448,2016-06-02 16:07:39.359869
33,56906,270457,Entire home/apt,,S�o Vicente,73,4.5,3,1.0,1.0,52.0,2.0,38.719031,-9.123903,2016-06-02 12:18:22.600999
34,57850,276092,Entire home/apt,,Estrela,37,4.5,3,2.0,1.0,69.0,4.0,38.706005,-9.172369,2016-06-02 11:24:03.516775
35,59227,184400,Entire home/apt,,Miseric�rdia,21,4.5,7,3.0,1.0,104.0,5.0,38.713658,-9.144939,2016-06-02 11:48:01.036136
36,62609,184400,Entire home/apt,,Miseric�rdia,8,5.0,5,2.0,2.0,127.0,4.0,38.709143,-9.144263,2016-06-02 13:01:01.813607
37,65553,320407,Entire home/apt,,Campo de Ourique,72,4.5,2,1.0,1.0,58.0,3.0,38.718431,-9.167952,2016-06-02 17:06:36.443421
38,65878,322145,Entire home/apt,,Miseric�rdia,48,5.0,4,1.0,1.0,76.0,2.0,38.712947,-9.147388,2016-06-02 17:37:31.584609
39,68103,336810,Entire home/apt,,Santa Maria Maior,109,4.5,4,2.0,1.0,67.0,2.0,38.711267,-9.129272,2016-06-02 12:06:52.907423
40,68726,51461,Entire home/apt,,Santa Maria Maior,31,4.5,3,2.0,1.0,58.0,2.0,38.712303,-9.13574,2016-06-02 15:14:12.817661
41,73764,154341,Entire home/apt,,Santo Ant�nio,18,4.5,2,1.0,1.0,63.0,4.0,38.721897,-9.154623,2016-06-02 17:43:39.836204
42,74654,51461,Private room,,Santa Maria Maior,10,4.5,1,1.0,1.0,20.0,4.0,38.712369,-9.134445,2016-06-02 16:01:51.916980
43,75171,184400,Entire home/apt,,Estrela,16,4.5,5,2.0,1.0,98.0,4.0,38.705015,-9.163481,2016-06-02 16:18:53.676527
44,77130,412702,Entire home/apt,,Miseric�rdia,73,4.5,3,1.0,1.0,52.0,2.0,38.712615,-9.151435,2016-06-02 14:47:43.774758
45,77466,415066,Entire home/apt,,Miseric�rdia,210,5.0,5,2.0,2.0,81.0,,38.711359,-9.145599,2016-06-02 16:55:12.370891
46,79127,400309,Entire home/apt,,S�o Vicente,121,4.5,4,1.0,1.0,40.0,3.0,38.721574,-9.125495,2016-06-02 13:40:50.617495
